Date,Coal - Generation (in MU),Oil & Gas - Generation (in MU),Nuclear - Generation (in MU),Hydro - Generation (in MU),Solar - Generation (in MU),Wind - Generation (in MU),Small-Hydro - Generation (in MU),Bio Power - Generation (in MU),Total
2022-06-01,103199.97,2389.39,3867.38,13946.11,8259.94,9708.52,698.89,829.66,142899.86
2022-07-01,92313.38,2002.31,4016.93,19465.11,6965.88,10266.44,1240.82,667.4,136938.27
2022-08-01,91225.18,1967.39,3586.77,23404.11,7428.25,8694.96,1520.99,610.51,138438.16
2022-09-01,91508.16,1758.94,3412.52,22016.56,8207.73,6654.49,1539.56,541.51,135639.47
2022-10-01,86536.92,1590.28,4219.26,16178.67,8726.85,3421.81,1297.68,792.27,122763.74
2022-11-01,92648.58,1758.85,3869.67,9838.32,7976.88,2489.5,1009.26,1917.73,121508.79
2022-12-01,101077.97,1806.34,3901.58,8559.81,8207.51,3996.15,758.44,2633.32,130941.12
2023-01-01,104444.77,1883.95,4118.92,8034.28,9290.04,5013.75,638.21,2793.4,136217.32
2023-02-01,97553.31,1753.56,3774.36,8358.46,9555.41,3126.99,560.79,2356.16,127039.04
2023-03-01,106423.4,1862.48,4047.79,7773.55,10244.33,4141.08,578.31,2200.98,137271.92
2023-04-01,109058.77,2438.18,3512.45,8728.97,10318.71,4249.19,586.22,1521.05,140413.54
2023-05-01,108610.11,2829.79,3495.91,11458.67,10776.14,8117.62,727.33,1092.33,147107.9
2023-06-01,106116.24,3029.3,3209.74,14334.25,9607.6,11557.78,735.29,701.95,149292.15
2023-07-01,100870.32,2238.58,3954.53,17924.48,8435.4,12449.42,1249.05,614.66,147736.44
2023-08-01,106371.54,3620.76,4370.12,21959.8,9325.8,12316.2,1238.79,614.26,159817.27
2023-09-01,105819.98,2957.84,4525.77,16322.75,9220.78,8850.83,1222.14,616.25,149536.34
2023-10-01,113958.88,3227.73,4493.54,11240.45,10219.76,3548.34,965.6,678.31,148332.61
2023-11-01,101951.9,1647.79,4424.49,6621.29,7820.96,3544.28,774.58,1945.96,128731.25
2023-12-01,103507.6,1913.56,4276.81,6167.11,8594.53,5113.0,592.32,2468.24,132633.17
2024-01-01,114877.66,2543.19,4152.32,6352.28,9008.47,4075.12,482.9,2496.92,143988.86
2024-02-01,106874.8,2325.01,3501.79,5928.16,10421.23,4907.57,442.67,2227.16,136628.39
2024-03-01,116162.17,2524.2,4019.94,7015.71,12225.86,4578.06,468.22,2012.29,149006.45
2024-04-01,119883.49,3720.34,4443.61,8109.14,12021.04,4729.27,593.84,1291.22,154791.95
